timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-11-26,30.39000000,50.00000000,28.59000000,36.00000000,3361838.14100000,1637971199999,131841767.93004000,275994,1689086.76100000,66821689.83245000,0
2021-11-27,36.00000000,42.50000000,31.55000000,37.23000000,925004.39000000,1638057599999,34166165.88713000,81202,440557.42500000,16351749.60585000,0
2021-11-28,37.24000000,43.00000000,33.52000000,38.75000000,494871.34600000,1638143999999,18637886.95807000,49024,242137.36600000,9206486.73075000,0
2021-11-29,38.77000000,49.10000000,37.20000000,41.48000000,1044096.58200000,1638230399999,45117989.08303000,127637,547144.89500000,23825575.22253000,0
2021-11-30,41.48000000,46.92000000,40.00000000,44.57000000,430262.56400000,1638316799999,18233736.06225000,52613,205933.12400000,8770323.95230000,0
2021-12-01,44.53000000,49.78000000,40.99000000,41.11000000,673650.70400000,1638403199999,30837554.64466000,81296,316502.40900000,14596708.53147000,0
2021-12-02,41.08000000,44.17000000,36.38000000,38.10000000,509216.25100000,1638489599999,19951388.21172000,64321,224602.13300000,8827132.31661000,0
2021-12-03,38.08000000,42.50000000,32.27000000,35.11000000,437535.63100000,1638575999999,16139017.32918000,49374,203311.41200000,7550420.99040000,0
2021-12-04,35.24000000,35.49000000,24.63000000,30.00000000,858660.21000000,1638662399999,24793125.22659000,72296,374395.92400000,10810689.71314000,0
2021-12-05,29.91000000,34.80000000,25.50000000,26.35000000,691400.04900000,1638748799999,20539263.32967000,65401,331732.68700000,9903629.18885000,0
2021-12-06,26.40000000,31.30000000,18.80000000,27.93000000,1555743.96000000,1638835199999,37287681.95488000,104355,797364.71000000,19148866.01760000,0
2021-12-07,27.93000000,35.30000000,27.32000000,29.70000000,1729653.02800000,1638921599999,53443874.65308000,174688,884770.96100000,27303981.99849000,0
2021-12-08,29.68000000,31.21000000,26.40000000,28.27000000,683458.98900000,1639007999999,19755147.93928000,60131,375772.93500000,10900240.97967000,0
2021-12-09,28.30000000,29.85000000,23.73000000,27.63000000,995588.02500000,1639094399999,26552612.63447000,88016,496388.89000000,13276384.43355000,0
