timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-08-07,10.00000000,12.30000000,9.83000000,10.40000000,12603.29000000,1596844799999,151279.83400000,36,235.12000000,2587.26330000,0
2020-08-08,10.80000000,10.80000000,7.45000000,8.04000000,15624.85000000,1596931199999,131761.78510000,150,8938.90000000,76214.81590000,0
2020-08-09,8.23000000,8.56000000,5.90000000,6.30000000,28644.20000000,1597017599999,203696.19650000,391,13383.34000000,99141.62690000,0
2020-08-10,6.00000000,7.03000000,3.86000000,3.98000000,200754.36000000,1597103999999,1019906.67060000,890,111931.20000000,534321.10320000,0
2020-08-11,4.01000000,5.37000000,3.65000000,4.50000000,406503.01000000,1597190399999,1762635.16300000,2169,222916.26000000,976800.64940000,0
2020-08-12,4.56000000,5.90000000,3.25000000,3.43000000,269674.82000000,1597276799999,1091856.07400000,1565,113488.58000000,469524.82260000,0
2020-08-13,3.43000000,4.28400000,3.23000000,3.87200000,197281.87000000,1597363199999,746014.07495000,935,105645.96000000,401061.04711000,0
2020-08-14,3.89000000,4.17700000,3.63100000,3.98300000,37153.46000000,1597449599999,148246.44207000,284,22041.45000000,88471.32906000,0
2020-08-15,4.00000000,4.49200000,3.45000000,4.01900000,87174.30000000,1597535999999,325540.23198000,247,31869.63000000,125290.78042000,0
2020-08-16,3.94100000,4.07200000,3.25100000,3.52600000,142368.64000000,1597622399999,535163.03995000,299,55537.38000000,210330.14621000,0
2020-08-17,3.60000000,4.08500000,3.60000000,4.06300000,34510.16000000,1597708799999,132596.03560000,307,17866.87000000,69285.69664000,0
2020-08-18,4.03100000,4.90000000,3.73600000,4.56700000,87514.64000000,1597795199999,365831.99574000,342,63623.64000000,258997.99843000,0
2020-08-19,4.53500000,5.95000000,4.09400000,4.85600000,70239.71000000,1597881599999,346184.91981000,578,50209.24000000,249417.80079000,0
2020-08-20,4.81600000,5.37900000,3.87000000,4.09400000,39467.46000000,1597967999999,166689.36839000,407,17310.70000000,72260.51355000,0
2020-08-21,4.09400000,5.56400000,3.97000000,5.56300000,51886.13000000,1598054399999,241406.90078000,578,28086.85000000,130279.80760000,0
2020-08-22,5.43700000,5.79200000,4.81100000,4.85700000,26432.23000000,1598140799999,139268.22819000,456,11356.43000000,60983.96030000,0
2020-08-23,4.82800000,5.50000000,4.79900000,5.05800000,13617.46000000,1598227199999,70443.54401000,279,7237.30000000,37717.03211000,0
2020-08-24,5.15500000,5.25100000,4.29000000,4.52700000,86976.70000000,1598313599999,389192.83625000,760,29753.65000000,134805.35056000,0
2020-08-25,4.46600000,5.55200000,4.46600000,5.10600000,66173.32000000,1598399999999,318083.34145000,917,54298.43000000,259423.25475000,0
2020-08-26,5.18000000,5.61000000,4.91500000,5.25000000,12196.21000000,1598486399999,65105.70187000,258,7017.58000000,37808.74692000,0
2020-08-27,5.33000000,6.23200000,5.19600000,5.86700000,15502.19000000,1598572799999,89284.93336000,537,10396.47000000,59928.02044000,0
2020-08-28,5.86700000,6.10000000,5.55600000,5.64100000,9493.28000000,1598659199999,54295.87245000,425,5523.03000000,31708.06698000,0
2020-08-29,5.70800000,5.84700000,5.20900000,5.31000000,2949.99000000,1598745599999,16333.93864000,189,1287.72000000,7100.24913000,0
2020-08-30,5.30400000,5.48800000,5.14300000,5.30600000,3474.49000000,1598831999999,18630.73260000,94,2915.44000000,15670.52891000,0
2020-08-31,5.27100000,5.78900000,5.01800000,5.72800000,5616.22000000,1598918399999,30335.97241000,208,3180.30000000,17007.09917000,0
2020-09-01,5.79000000,5.97600000,4.93900000,5.16800000,5058.97000000,1599004799999,26250.08028000,161,1102.16000000,6013.14362000,0
