timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-08-11,21.59000000,26.00000000,18.50200000,20.37300000,40162.44300000,1597190399999,800537.51068700,4004,15988.27400000,319679.27861200,0
2020-08-12,20.10600000,24.90000000,19.00100000,22.39700000,122728.15600000,1597276799999,2657211.85409800,10023,48934.14400000,1064226.76784700,0
2020-08-13,22.45700000,23.73300000,19.50000000,21.34500000,72791.61300000,1597363199999,1541256.49551600,6784,34425.46300000,732811.33030900,0
2020-08-14,21.33800000,23.00000000,20.38700000,21.54200000,34621.88700000,1597449599999,726883.67340000,3936,14558.80500000,307064.13238900,0
2020-08-15,21.54200000,21.62600000,19.06300000,19.51900000,46574.52600000,1597535999999,926064.88506800,3819,19585.78500000,390629.02224800,0
2020-08-16,19.50000000,19.86500000,18.00000000,19.62000000,35899.80500000,1597622399999,685755.63778900,2830,12987.20100000,248095.16815700,0
2020-08-17,19.62900000,20.84800000,18.94600000,19.72000000,49016.84600000,1597708799999,961402.25651000,4028,18557.65500000,364683.13965200,0
2020-08-18,19.82500000,22.50000000,19.01700000,20.18100000,89167.13000000,1597795199999,1825447.83428100,9369,38851.60000000,797417.72900400,0
2020-08-19,20.27200000,20.40000000,17.00000000,17.89400000,71392.66100000,1597881599999,1331609.39565700,5414,28243.00000000,523170.53628000,0
2020-08-20,17.97100000,22.99100000,17.55100000,22.78500000,128185.12900000,1597967999999,2642013.45940900,10114,56505.33400000,1171830.26274200,0
2020-08-21,22.84900000,22.84900000,19.55500000,19.74000000,103993.32300000,1598054399999,2192788.96144200,9328,48056.19200000,1014320.67041200,0
2020-08-22,19.85700000,26.56900000,19.33500000,25.99900000,170992.94300000,1598140799999,3930892.75608600,15158,83013.36600000,1924623.86157300,0
2020-08-23,25.99900000,26.19500000,22.48100000,24.55900000,130954.40200000,1598227199999,3163923.25879400,8990,54039.11600000,1307484.99939100,0
2020-08-24,24.33400000,27.23200000,23.33500000,24.22400000,79489.79200000,1598313599999,1996185.00999100,6882,33007.96700000,830465.85277800,0
2020-08-25,24.20400000,25.72400000,22.00000000,23.35900000,61985.38600000,1598399999999,1466064.58485500,5357,23774.61000000,566727.48991500,0
