timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-02-26,22.18000000,59.00000000,21.44800000,22.64500000,41977.16500000,1614383999999,954584.04128900,4774,24613.28300000,561400.15422100,0
2021-02-27,22.76100000,25.89400000,22.66800000,24.26300000,55447.10700000,1614470399999,1365538.62929200,5567,32050.66600000,788653.76897200,0
2021-02-28,24.09800000,25.37900000,21.54100000,24.28400000,58445.07700000,1614556799999,1344007.69662200,6786,33333.45700000,767499.92450600,0
2021-03-01,24.32900000,25.89400000,23.76500000,25.70000000,34560.30700000,1614643199999,861058.61099200,4508,21363.46800000,532783.35291000,0
2021-03-02,25.70600000,27.39800000,24.70000000,26.06800000,47997.62100000,1614729599999,1249725.84281700,5156,25635.53600000,667692.44365100,0
2021-03-03,26.08500000,27.78200000,26.08500000,26.76600000,46773.14900000,1614815999999,1265161.03411800,4056,21830.19900000,590394.09060100,0
2021-03-04,26.68700000,27.63800000,24.80000000,25.56100000,28480.92300000,1614902399999,741170.69783400,3846,17610.43200000,458973.21691300,0
2021-03-05,25.46500000,25.98500000,22.82000000,24.34900000,42983.45000000,1614988799999,1033374.85979600,6005,24025.87500000,579481.42939400,0
2021-03-06,24.43600000,24.68200000,23.25500000,24.12000000,23906.95400000,1615075199999,573474.25138200,3007,14187.87100000,340387.35658200,0
2021-03-07,24.14900000,25.53300000,24.14900000,25.36100000,19672.34400000,1615161599999,489203.55349200,3091,12989.71500000,323229.83230700,0
2021-03-08,25.38300000,25.95800000,24.27200000,25.35600000,32263.82800000,1615247999999,808222.18057900,4341,16724.36400000,418375.31915100,0
2021-03-09,25.41600000,28.03900000,25.05000000,27.61000000,38816.98800000,1615334399999,1033345.83966800,5929,23308.41700000,619885.95473200,0
2021-03-10,27.61000000,28.60000000,26.10000000,27.04000000,37203.33500000,1615420799999,1024242.41091300,5867,20924.03800000,576504.38151500,0
2021-03-11,27.05300000,27.35600000,25.87500000,26.48500000,29804.72100000,1615507199999,792242.87001600,4242,14935.05900000,397301.61187800,0
2021-03-12,26.50200000,26.92400000,24.91700000,25.90000000,29923.11200000,1615593599999,770477.52218400,4675,15690.12300000,404474.62812300,0
2021-03-13,25.92700000,27.52100000,25.03900000,26.68000000,39066.98700000,1615679999999,1044354.59692500,4972,22910.01600000,613593.18115500,0
2021-03-14,26.77800000,27.59500000,26.16800000,26.30000000,27565.13200000,1615766399999,735317.37355600,3753,16726.08300000,446750.24899700,0
2021-03-15,26.30000000,27.90000000,24.42200000,24.75900000,43495.86600000,1615852799999,1108602.60486200,5764,23117.35200000,590207.15251800,0
2021-03-16,24.71400000,25.63600000,23.27200000,25.54000000,58457.62500000,1615939199999,1442928.38306100,4893,33268.36800000,825264.13247200,0
2021-03-17,25.52300000,26.30900000,24.84700000,25.86800000,34490.31500000,1616025599999,881572.74009100,3466,20428.29300000,522958.97478800,0
2021-03-18,25.92700000,26.54200000,25.45400000,25.49300000,26221.11000000,1616111999999,681225.19054800,3030,13976.62700000,363414.34781300,0
2021-03-19,25.45000000,28.15200000,24.96000000,27.64000000,34659.91400000,1616198399999,939909.27298000,4062,21677.74600000,588837.71700800,0
2021-03-20,27.63500000,28.97200000,26.90500000,26.95500000,28487.23100000,1616284799999,805177.53949900,3553,15340.70300000,434609.60393500,0
2021-03-21,26.95700000,27.51600000,26.20000000,26.66300000,20024.97400000,1616371199999,537097.91645900,2960,9658.78100000,259617.86072900,0
2021-03-22,26.66300000,27.32100000,25.41000000,25.57800000,30237.74600000,1616457599999,800294.23218400,3167,15204.60600000,404141.46078500,0
2021-03-23,25.55300000,26.30700000,24.81100000,25.01900000,24671.59200000,1616543999999,629219.95491000,2795,14236.39300000,363556.44549400,0
2021-03-24,24.94200000,26.38600000,20.22600000,22.25000000,72155.71300000,1616630399999,1671916.56299100,5977,35119.57900000,819089.37012700,0
2021-03-25,22.17900000,23.52000000,20.50000000,21.76700000,135382.27300000,1616716799999,2953107.76001500,9176,73051.52300000,1597460.65005400,0
2021-03-26,21.83200000,24.29700000,21.83200000,24.10200000,46373.26900000,1616803199999,1068112.53946600,4004,29298.47500000,675707.47034300,0
2021-03-27,24.15100000,24.37400000,22.63100000,23.70400000,38738.57400000,1616889599999,913156.25505100,2827,19602.32000000,462132.77664200,0
2021-03-28,23.71000000,24.13100000,22.75000000,23.47500000,26783.22700000,1616975999999,630510.99894300,2185,13339.57400000,314375.00790900,0
2021-03-29,23.47500000,25.23500000,23.13800000,25.01900000,35338.08800000,1617062399999,865303.46524700,2522,16456.53100000,404107.68548400,0
2021-03-30,25.01900000,25.31500000,24.36700000,24.77100000,28462.78500000,1617148799999,707739.91950700,2250,14388.49800000,357807.87227500,0
2021-03-31,24.75000000,27.76100000,24.11600000,26.94300000,83915.15800000,1617235199999,2202016.70158800,6046,45893.50500000,1205658.46166800,0
2021-04-01,26.99000000,28.27100000,26.18600000,27.22800000,73566.84000000,1617321599999,2013515.86846500,5788,43356.51200000,1188267.14784800,0
2021-04-02,27.22900000,30.00000000,26.53100000,29.75400000,70539.24700000,1617407999999,1992316.10493500,5564,39311.48700000,1112773.76144300,0
2021-04-03,29.78800000,34.00000000,29.69700000,30.03000000,171463.05000000,1617494399999,5495425.73278000,12343,87739.71400000,2813688.03411000,0
2021-04-04,30.04400000,32.87200000,29.61600000,32.31200000,66138.27600000,1617580799999,2104087.01346100,4985,31039.28600000,987591.44750500,0
2021-04-05,32.31500000,32.98200000,30.48600000,32.98000000,66020.41600000,1617667199999,2088969.70107800,5720,32948.37600000,1043900.64918700,0
2021-04-06,32.99000000,33.28400000,30.16900000,31.51400000,81950.63000000,1617753599999,2596922.75359800,7319,46245.01600000,1468563.71431500,0
2021-04-07,31.49200000,31.55700000,27.49900000,28.88500000,86795.88900000,1617839999999,2535362.97061400,7755,41860.39200000,1222204.66182200,0
2021-04-08,28.90000000,30.37100000,28.66500000,30.24000000,47262.95200000,1617926399999,1399123.92361900,4119,25105.77900000,742710.20143900,0
2021-04-09,30.19400000,30.65200000,29.26900000,29.83000000,27329.03500000,1618012799999,819205.77893300,3158,16294.02000000,488827.07794500,0
2021-04-10,29.88700000,31.03200000,29.36400000,30.51300000,36925.41500000,1618099199999,1118697.94379900,4391,21715.18500000,659095.25031700,0
2021-04-11,30.55600000,30.68200000,29.32000000,30.27000000,28559.84900000,1618185599999,854940.71768300,4269,16220.38200000,486060.69166200,0
2021-04-12,30.26900000,30.47000000,28.72200000,29.45800000,44175.97400000,1618271999999,1310269.96460600,4520,19393.55300000,575330.85559600,0
2021-04-13,29.50900000,31.70000000,29.01800000,31.39800000,57691.38900000,1618358399999,1755186.63430100,6457,32229.81200000,981082.88679700,0
