timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-04-02,5037.02000000,15000.00000000,3124.20000000,4609.08000000,949.21059000,1617407999999,5001307.04303870,20494,389.34485000,2071177.52580790,0
2021-04-03,4608.00000000,4951.25000000,3725.80000000,3768.04000000,240.19746000,1617494399999,1027543.66702950,6933,100.47017000,432579.11329910,0
2021-04-04,3770.73000000,4399.99000000,3732.70000000,4191.03000000,180.61544000,1617580799999,731060.15859480,6823,77.70436000,317786.06145200,0
2021-04-05,4191.02000000,4345.45000000,3815.00000000,3838.51000000,83.34620000,1617667199999,339467.75381310,2549,31.38702000,129940.27835350,0
2021-04-06,3813.68000000,4243.00000000,3750.00000000,3849.63000000,140.94534000,1617753599999,545038.54957350,3815,35.59940000,140304.00235360,0
2021-04-07,3881.90000000,3935.67000000,3232.67000000,3409.00000000,121.86410000,1617839999999,436778.93165530,1607,56.68341000,198716.98093540,0
2021-04-08,3397.01000000,3792.78000000,3380.00000000,3515.61000000,117.88858800,1617926399999,422350.72288429,2297,46.52972400,166817.23986812,0
2021-04-09,3519.54000000,4182.34000000,3348.53000000,3952.44000000,313.97718700,1618012799999,1171023.56127849,6485,86.17818900,327955.73636650,0
2021-04-10,3948.83000000,4485.20000000,3925.84000000,3943.07000000,197.79401900,1618099199999,831729.51153653,6758,77.81224400,325904.05473548,0
2021-04-11,3962.50000000,4109.74000000,3679.58000000,4048.02000000,137.08797100,1618185599999,528508.17893510,3542,74.05003900,286039.92272383,0
2021-04-12,4067.98000000,4700.00000000,3850.00000000,4071.94000000,275.65898100,1618271999999,1152749.48193673,7889,152.75503500,641869.43448407,0
2021-04-13,4072.42000000,4097.76000000,3650.00000000,3803.85000000,203.87417000,1618358399999,775436.03806185,5369,75.59168600,288333.24475133,0
2021-04-14,3803.85000000,4133.75000000,3683.55000000,3891.62000000,199.06886500,1618444799999,784062.64909178,4795,84.28679600,333690.79612266,0
2021-04-15,3905.10000000,4051.82000000,3779.68000000,3818.48000000,134.41809100,1618531199999,518988.74304724,3829,55.06195200,213567.42910938,0
2021-04-16,3815.40000000,3823.58000000,3394.10000000,3486.51000000,151.90793500,1618617599999,548049.30330950,3778,61.53279400,222263.91066306,0
2021-04-17,3497.00000000,3734.67000000,3385.39000000,3402.24000000,91.01332900,1618703999999,320738.91655648,2293,31.59487500,111986.47939907,0
2021-04-18,3426.89000000,3435.95000000,2767.01000000,3080.08000000,161.64044400,1618790399999,494807.06608051,2633,79.92289600,243558.87471161,0
2021-04-19,3081.63000000,3532.36000000,3015.00000000,3110.96000000,101.40015100,1618876799999,332707.04041274,3407,51.32736800,169492.76233938,0
2021-04-20,3110.96000000,3503.36000000,2906.93000000,3174.12000000,76.37074800,1618963199999,245115.95951428,2002,34.99836800,113765.52819039,0
2021-04-21,3178.16000000,3190.98000000,2771.03000000,2865.00000000,293.23109300,1619049599999,858968.91048415,4522,140.06903600,412932.80450122,0
2021-04-22,2865.60000000,2951.00000000,2235.24000000,2270.02000000,333.11763700,1619135999999,851169.22316041,3737,124.23607500,316280.81216164,0
2021-04-23,2353.22000000,2386.00000000,1988.50000000,2255.19000000,228.23256900,1619222399999,499373.81495102,2481,92.07728700,203453.52419349,0
2021-04-24,2255.19000000,2310.00000000,2052.05000000,2099.97000000,109.27336700,1619308799999,237684.86685821,1486,49.33171900,108041.28716327,0
2021-04-25,2099.97000000,2249.36000000,1939.67000000,2111.78000000,106.96066600,1619395199999,226885.66656017,1569,48.89628900,103735.85698339,0
2021-04-26,2111.85000000,2388.47000000,2106.20000000,2194.11000000,99.42160100,1619481599999,223440.74025720,1398,42.15460100,95049.30277278,0
2021-04-27,2199.16000000,2656.64000000,2123.20000000,2622.89000000,201.04436500,1619567999999,490755.02405297,2708,90.25632000,221676.75633017,0
2021-04-28,2605.32000000,2729.24000000,2351.15000000,2530.22000000,277.56218200,1619654399999,690157.20708526,2738,115.33856300,287551.23542246,0
2021-04-29,2558.83000000,3734.67000000,2450.00000000,3539.11000000,1721.80936600,1619740799999,5682622.30415903,20759,840.64762200,2770030.78515132,0
2021-04-30,3579.99000000,4020.00000000,3350.00000000,3397.68000000,1396.75603200,1619827199999,5135043.28270664,21985,556.89325500,2065770.76994113,0
2021-05-01,3397.68000000,3579.47000000,3244.85000000,3354.33000000,291.83587400,1619913599999,987770.23890932,5566,119.90077100,406796.21859019,0
2021-05-02,3354.33000000,3772.72000000,3168.01000000,3582.38000000,378.00468300,1619999999999,1327543.89242801,7188,165.33315100,580136.21307712,0
2021-05-03,3584.57000000,4444.44000000,3581.82000000,4338.23000000,792.43632600,1620086399999,3193888.87108514,13390,320.23121000,1290823.26721224,0
2021-05-04,4312.74000000,4399.99000000,3421.30000000,3421.31000000,611.16211000,1620172799999,2352218.05707161,10848,225.96624400,874320.75741313,0
2021-05-05,3421.28000000,3649.78000000,3366.94000000,3500.00000000,256.80763200,1620259199999,902156.46339040,4051,128.61924300,450133.55296745,0
2021-05-06,3500.00000000,3568.00000000,3112.00000000,3203.82000000,358.66461700,1620345599999,1201422.58967279,4738,156.41362000,522369.88928488,0
2021-05-07,3185.13000000,3203.38000000,2887.34000000,2939.97000000,310.78007300,1620431999999,949332.91144859,3855,147.25352000,452722.34342384,0
2021-05-08,2939.97000000,3206.19000000,2909.39000000,3041.74000000,295.13967900,1620518399999,899743.60320599,3765,138.48751600,423995.48787531,0
2021-05-09,3046.52000000,3204.00000000,2935.00000000,3014.92000000,211.93305300,1620604799999,650163.16654262,3425,106.50687500,327777.01182936,0
