timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-11-06,0.85000000,6.00050000,0.21010000,0.84780000,400743.90000000,1604707199999,462745.26489200,4504,140189.44000000,188699.61038900,0
2020-11-07,0.84780000,0.89000000,0.67820000,0.67860000,75211.18000000,1604793599999,60350.15394700,804,32420.84000000,26296.05204300,0
2020-11-08,0.67840000,0.77060000,0.64500000,0.67690000,54972.43000000,1604879999999,38639.53552700,474,29895.54000000,21058.99940000,0
2020-11-09,0.68310000,0.69330000,0.56780000,0.58010000,89903.27000000,1604966399999,56421.46515200,774,30290.08000000,19162.86998300,0
2020-11-10,0.58020000,0.84800000,0.57130000,0.60000000,151440.79000000,1605052799999,105006.17476200,1180,79418.24000000,55745.57955800,0
2020-11-11,0.59200000,0.63900000,0.50070000,0.50870000,101069.45000000,1605139199999,57866.42735600,695,30994.14000000,17706.21054000,0
2020-11-12,0.50040000,0.50890000,0.40010000,0.40600000,152337.69000000,1605225599999,69494.59737600,616,46076.77000000,20669.74309900,0
2020-11-13,0.40720000,0.45960000,0.40100000,0.42830000,84389.08000000,1605311999999,36292.97589700,451,37411.58000000,16188.25667700,0
2020-11-14,0.42620000,0.42830000,0.38180000,0.41000000,110039.58000000,1605398399999,44357.95692300,350,57350.18000000,23300.70457600,0
2020-11-15,0.41190000,0.54960000,0.40780000,0.44050000,258917.66000000,1605484799999,121483.59541800,946,147139.73000000,69117.80849100,0
2020-11-16,0.44020000,0.78000000,0.43430000,0.68840000,723168.53000000,1605571199999,430784.11359300,2787,356917.34000000,214401.52248500,0
2020-11-17,0.69400000,0.78000000,0.55000000,0.62530000,450126.24000000,1605657599999,298009.31103600,2023,229730.29000000,152733.59761100,0
2020-11-18,0.61670000,0.61670000,0.48200000,0.52440000,232204.63000000,1605743999999,123079.90156400,1121,75508.48000000,40103.65583100,0
2020-11-19,0.52220000,0.60770000,0.48000000,0.49940000,217873.29000000,1605830399999,113760.28216100,829,67114.99000000,35492.20219800,0
2020-11-20,0.48510000,0.60000000,0.48380000,0.52220000,282321.86000000,1605916799999,146167.98163800,869,117082.67000000,62017.54223100,0
2020-11-21,0.51270000,0.59500000,0.49940000,0.51660000,237024.79000000,1606003199999,125319.51032500,1000,127094.37000000,67720.84597100,0
2020-11-22,0.52740000,0.53570000,0.44300000,0.47210000,271618.03000000,1606089599999,134718.67714900,943,54428.00000000,26851.55290500,0
2020-11-23,0.47780000,0.52720000,0.47050000,0.49070000,142802.40000000,1606175999999,71863.50779500,508,55016.35000000,27654.64654600,0
2020-11-24,0.49070000,0.51450000,0.46050000,0.49730000,175889.44000000,1606262399999,85276.57851300,592,63251.85000000,30947.81800800,0
2020-11-25,0.50290000,0.50760000,0.46300000,0.47650000,111124.78000000,1606348799999,54065.19769900,506,59785.61000000,29340.55443600,0
2020-11-26,0.47660000,0.50100000,0.39000000,0.40440000,148166.86000000,1606435199999,63851.52226900,490,46841.50000000,20520.12502400,0
2020-11-27,0.41000000,0.48000000,0.40450000,0.48000000,57598.08000000,1606521599999,25273.44384300,284,38704.74000000,17076.94192800,0
2020-11-28,0.48000000,0.54450000,0.45500000,0.50080000,147393.39000000,1606607999999,74985.24890100,576,78139.07000000,39527.33184000,0
2020-11-29,0.51000000,0.55550000,0.47990000,0.49370000,54471.52000000,1606694399999,28394.94457200,289,26789.46000000,13967.32763400,0
2020-11-30,0.49400000,0.55290000,0.49130000,0.53700000,86264.10000000,1606780799999,44965.29499200,411,53881.41000000,28237.68842700,0
2020-12-01,0.52770000,0.53000000,0.48040000,0.48940000,66076.64000000,1606867199999,33239.71711500,313,25195.31000000,12747.80620500,0
2020-12-02,0.48940000,0.57640000,0.47800000,0.54620000,219832.15000000,1606953599999,120167.61585500,645,118799.26000000,65077.30266700,0
2020-12-03,0.55690000,0.67910000,0.54410000,0.62540000,381339.04000000,1607039999999,234775.61062700,1565,234464.92000000,143357.54256400,0
2020-12-04,0.62040000,0.64970000,0.55550000,0.58040000,103411.29000000,1607126399999,62604.30336700,595,41579.72000000,25157.31047300,0
2020-12-05,0.57960000,0.78860000,0.56880000,0.73220000,309350.15000000,1607212799999,218049.52538200,1515,140264.91000000,98942.33760100,0
2020-12-06,0.73220000,0.88720000,0.71810000,0.77420000,434595.01000000,1607299199999,354167.70396500,2249,192835.53000000,157857.15678600,0
2020-12-07,0.76080000,1.09000000,0.75600000,1.02050000,559215.11000000,1607385599999,530851.71705900,3196,261518.27000000,248110.87332400,0
2020-12-08,1.02080000,1.24940000,0.87450000,0.89450000,799280.41000000,1607471999999,867003.63746700,4015,351640.03000000,385926.90706300,0
2020-12-09,0.89360000,1.01710000,0.77400000,0.96470000,385235.90000000,1607558399999,355105.76093800,2591,183711.21000000,171208.32237300,0
2020-12-10,0.96470000,0.98820000,0.76040000,0.80000000,345310.82000000,1607644799999,291351.61875700,1972,76131.77000000,65306.21114400,0
2020-12-11,0.79040000,0.95120000,0.69350000,0.87880000,393077.38000000,1607731199999,319247.55100600,1731,165990.17000000,135828.51170600,0
2020-12-12,0.88150000,1.06620000,0.86650000,0.96440000,624635.56000000,1607817599999,595082.86974200,3122,274945.71000000,261463.49713400,0
2020-12-13,0.95910000,1.04960000,0.88000000,0.90000000,357078.58000000,1607903999999,337085.45527300,1447,115675.08000000,109538.84979400,0
2020-12-14,0.90000000,0.94260000,0.81300000,0.87320000,222950.86000000,1607990399999,197658.93096500,1048,101484.17000000,90041.88663200,0
2020-12-15,0.87920000,0.96650000,0.85130000,0.86300000,233886.76000000,1608076799999,209584.23802000,2202,107006.48000000,96470.40530800,0
2020-12-16,0.86270000,0.93000000,0.81410000,0.83510000,149151.19000000,1608163199999,127470.55500000,1011,48877.78000000,42114.84954100,0
2020-12-17,0.83050000,0.99100000,0.82100000,0.92990000,493292.02000000,1608249599999,452236.30103900,1744,216559.44000000,198853.33940000,0
2020-12-18,0.92980000,0.99980000,0.81820000,0.85430000,204320.86000000,1608335999999,180457.37246600,1094,83050.09000000,74116.39200100,0
2020-12-19,0.85430000,0.92580000,0.84140000,0.85300000,179626.43000000,1608422399999,157331.92721800,1129,90653.89000000,80082.33276300,0
2020-12-20,0.85300000,0.86590000,0.72200000,0.75290000,317079.31000000,1608508799999,254277.97175800,1206,72643.24000000,57849.81926700,0
2020-12-21,0.75010000,0.79760000,0.64200000,0.69000000,229360.95000000,1608595199999,161840.75337600,1114,80175.66000000,56571.79704200,0
2020-12-22,0.69000000,0.69000000,0.60480000,0.64110000,399273.20000000,1608681599999,254139.00849600,1139,214212.17000000,137548.35333200,0
2020-12-23,0.64460000,0.68520000,0.46680000,0.53800000,283780.99000000,1608767999999,163849.26402100,1103,70200.01000000,41098.69424200,0
2020-12-24,0.51020000,0.63950000,0.47740000,0.58290000,288546.30000000,1608854399999,148559.03719700,926,106087.62000000,56305.50173500,0
2020-12-25,0.59800000,0.67050000,0.53940000,0.56780000,176597.23000000,1608940799999,106009.83096500,646,61049.50000000,36889.05677700,0
2020-12-26,0.58100000,0.58100000,0.51270000,0.52560000,176914.79000000,1609027199999,93898.34518600,729,68910.02000000,36699.77811500,0
2020-12-27,0.52460000,0.62640000,0.48700000,0.54710000,136624.19000000,1609113599999,75136.38540500,778,67751.63000000,38055.19002400,0
2020-12-28,0.56680000,0.59270000,0.51260000,0.51260000,147234.35000000,1609199999999,80120.59056600,509,67114.17000000,36948.95877600,0
2020-12-29,0.52500000,0.52930000,0.45500000,0.48800000,72945.47000000,1609286399999,36414.76109600,426,12392.94000000,6155.44633500,0
2020-12-30,0.48950000,0.48950000,0.43500000,0.46110000,67096.06000000,1609372799999,30661.99046900,441,14370.16000000,6602.10955100,0
