timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-12-11,58.95000000,60.22000000,58.71000000,59.59000000,869.55632000,1607731199999,51504.96741820,147,794.17293000,47040.49663080,0
2020-12-12,59.50000000,63.06000000,59.23000000,62.67000000,498.81153000,1607817599999,30576.58941360,85,414.22720000,25465.32472970,0
2020-12-13,63.04000000,67.06000000,61.77000000,65.72000000,843.95825000,1607903999999,55385.16940210,86,307.73085000,20240.74739590,0
2020-12-14,65.55000000,66.46000000,62.54000000,65.80000000,1498.07446000,1607990399999,95979.85848040,116,555.87718000,35819.37774250,0
2020-12-15,65.75000000,66.26000000,63.99000000,64.72000000,385.57642000,1608076799999,25131.91796210,123,197.80502000,12893.14067440,0
2020-12-16,64.72000000,68.43000000,63.22000000,67.00000000,1623.64614000,1608163199999,107123.86108900,337,628.54415000,41396.53034170,0
2020-12-17,69.44000000,72.11000000,65.01000000,68.00000000,1867.55493000,1608249599999,130663.82930410,227,1477.49424000,103608.57745020,0
2020-12-18,66.81000000,70.08000000,66.81000000,68.84000000,809.35261000,1608335999999,55699.56363340,135,650.46687000,44812.04940040,0
2020-12-19,68.46000000,71.01000000,68.01000000,68.50000000,630.76865000,1608422399999,43912.63284300,141,310.13567000,21694.27250150,0
2020-12-20,68.24000000,69.50000000,64.00000000,65.53000000,729.05789000,1608508799999,49676.52919090,163,456.59951000,31058.03230680,0
2020-12-21,66.16000000,67.30000000,62.00000000,63.76000000,1879.29571000,1608595199999,121322.36391690,221,880.25106000,56762.96316800,0
2020-12-22,63.01000000,66.62000000,62.00000000,65.69000000,1233.75536000,1608681599999,80357.53415220,233,821.94206000,53431.10551310,0
2020-12-23,65.84000000,66.17000000,43.20000000,56.50000000,6840.77918000,1608767999999,385062.90721210,577,3503.67277000,195399.64020340,0
2020-12-24,57.25000000,60.90000000,52.30000000,60.58000000,1939.67573000,1608854399999,109447.41674870,299,1793.60459000,101232.65012610,0
2020-12-25,60.30000000,62.17000000,58.15000000,60.51000000,783.97163000,1608940799999,47330.45469780,162,282.29145000,17055.06514520,0
2020-12-26,60.48000000,61.33000000,56.17000000,57.67000000,3014.94531000,1609027199999,174155.30473090,305,922.17190000,53460.10590550,0
2020-12-27,57.67000000,69.36000000,55.50000000,64.56000000,3629.83701000,1609113599999,230096.03682820,489,1859.67990000,117775.74081840,0
2020-12-28,63.18000000,68.59000000,63.18000000,67.22000000,3350.02160000,1609199999999,220907.03029530,375,2323.23609000,153829.31435480,0
2020-12-29,66.98000000,68.51000000,56.80000000,61.46000000,3654.78368000,1609286399999,227793.88677300,475,1821.97952000,113919.09059640,0
2020-12-30,61.78000000,62.45000000,57.74000000,59.01000000,2850.42035000,1609372799999,169263.78273410,428,1603.88333000,95681.52802430,0
2020-12-31,58.98000000,61.22000000,57.75000000,58.63000000,3085.18661000,1609459199999,182360.58472840,411,1787.43983000,106190.95563960,0
2021-01-01,58.63000000,64.90000000,58.50000000,62.08000000,2805.59454000,1609545599999,175475.26163590,283,1921.57492000,120429.48033630,0
2021-01-02,61.24000000,64.80000000,60.14000000,64.31000000,1979.05675000,1609631999999,123677.88396440,324,777.23619000,48718.19206060,0
2021-01-03,64.31000000,73.37000000,61.72000000,71.75000000,4527.44889000,1609718399999,309418.56246560,523,2241.38200000,153122.11791530,0
2021-01-04,71.93000000,81.50000000,65.21000000,72.16000000,7634.49151000,1609804799999,562838.68821930,813,3736.83039000,271467.84238070,0
2021-01-05,72.46000000,79.41000000,70.00000000,76.93000000,6517.54567000,1609891199999,497441.24776320,767,2842.52577000,216762.05571380,0
2021-01-06,77.60000000,94.46000000,75.00000000,92.29000000,17066.74455000,1609977599999,1488324.36481390,1430,9170.02706000,796539.96562510,0
2021-01-07,92.38000000,95.35000000,80.10000000,87.46000000,7520.10388000,1610063999999,674633.42903010,1217,4157.02697000,373006.98585750,0
2021-01-08,87.58000000,88.83000000,78.09000000,83.90000000,8613.25925000,1610150399999,721466.53980970,1059,4632.44767000,388439.92548390,0
2021-01-09,84.03000000,98.00000000,83.00000000,96.69000000,5394.39950000,1610236799999,490410.25712160,726,2998.05956000,269064.92220470,0
2021-01-10,97.39000000,101.49000000,83.89000000,88.88000000,7844.95486000,1610323199999,731283.31648040,1231,3522.22935000,330142.45633440,0
2021-01-11,88.88000000,88.88000000,69.10000000,81.07000000,14311.76585000,1610409599999,1098967.18988870,1604,7698.84347000,584194.16696990,0
2021-01-12,82.02000000,85.80000000,74.41000000,75.20000000,5201.60859000,1610495999999,417479.34085800,735,2922.54397000,233409.48622430,0
2021-01-13,75.29000000,86.99000000,73.16000000,84.80000000,6519.32342000,1610582399999,536294.17030510,752,3682.61604000,304801.65361650,0
2021-01-14,85.44000000,94.13000000,80.01000000,94.13000000,6240.66701000,1610668799999,542278.04888060,785,3239.23458000,284390.89194480,0
2021-01-15,94.12000000,114.16000000,92.47000000,109.95000000,23077.97376000,1610755199999,2403536.83759020,2583,13748.64906000,1437660.59365420,0
2021-01-16,112.00000000,124.73000000,106.01000000,108.60000000,10303.52644000,1610841599999,1195055.16853200,2233,4736.74558000,549601.25632710,0
2021-01-17,108.40000000,126.40000000,104.80000000,125.00000000,12249.56608000,1610927999999,1448233.77794360,2138,6219.35805000,740255.31571970,0
2021-01-18,125.20000000,126.04000000,112.69000000,117.10000000,8827.08617000,1611014399999,1032582.22952190,1736,3974.51208000,465789.41460270,0
