timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-10-21,0.01333000,0.05000000,0.01333000,0.02625000,6429111.00000000,1603324799999,173986.36307900,26977,2789218.60000000,76030.74597600,0
2020-10-22,0.02630000,0.02770000,0.02358000,0.02562000,710925.20000000,1603411199999,17997.06016000,3809,318809.10000000,8075.62361200,0
2020-10-23,0.02548000,0.03995000,0.02541000,0.03900000,1736495.90000000,1603497599999,56255.31628200,9290,907030.50000000,29634.07721500,0
2020-10-24,0.03875000,0.03885000,0.03059000,0.03100000,703009.10000000,1603583999999,24052.37273000,4063,329769.80000000,11186.50033400,0
2020-10-25,0.03091000,0.03267000,0.02773000,0.02995000,577785.90000000,1603670399999,17274.09602000,2752,289177.60000000,8661.20844500,0
2020-10-26,0.03000000,0.03027000,0.02491000,0.02635000,354920.20000000,1603756799999,9551.38734200,1928,139858.60000000,3764.25581300,0
2020-10-27,0.02635000,0.02684000,0.02407000,0.02465000,255400.80000000,1603843199999,6410.09867100,1384,112408.00000000,2824.86852300,0
2020-10-28,0.02488000,0.02521000,0.02193000,0.02241000,181529.00000000,1603929599999,4286.07833600,981,81999.40000000,1925.01266100,0
2020-10-29,0.02240000,0.02863000,0.02181000,0.02689000,583352.90000000,1604015999999,14880.25586400,4042,308684.70000000,7918.33706900,0
2020-10-30,0.02668000,0.02815000,0.02378000,0.02549000,438206.60000000,1604102399999,11329.27932100,3536,226374.50000000,5859.86979000,0
2020-10-31,0.02549000,0.02850000,0.02514000,0.02758000,186913.90000000,1604188799999,5023.18903500,2048,100706.40000000,2711.73748700,0
2020-11-01,0.02764000,0.02896000,0.02614000,0.02624000,106129.40000000,1604275199999,2881.26021900,950,58042.90000000,1575.94882600,0
2020-11-02,0.02624000,0.02724000,0.02523000,0.02614000,89916.50000000,1604361599999,2366.34678700,939,39709.40000000,1049.16551300,0
2020-11-03,0.02619000,0.02658000,0.02464000,0.02592000,127403.50000000,1604447999999,3277.23094200,1099,55384.40000000,1428.27329900,0
2020-11-04,0.02601000,0.02773000,0.02536000,0.02659000,159166.00000000,1604534399999,4219.71708600,1485,81157.20000000,2156.03826300,0
2020-11-05,0.02649000,0.02664000,0.02453000,0.02532000,157549.10000000,1604620799999,4061.20705500,1158,79609.30000000,2052.74925700,0
2020-11-06,0.02533000,0.02615000,0.02349000,0.02578000,286397.70000000,1604707199999,7182.02325400,2117,142335.40000000,3567.74742500,0
2020-11-07,0.02589000,0.03080000,0.02568000,0.02841000,319579.70000000,1604793599999,8911.97707300,2545,175026.20000000,4888.71100900,0
2020-11-08,0.02848000,0.03139000,0.02777000,0.02952000,209841.80000000,1604879999999,6218.88350600,1388,120459.00000000,3578.06964100,0
2020-11-09,0.02935000,0.03679000,0.02927000,0.03476000,492151.30000000,1604966399999,16283.93931100,3150,285032.20000000,9373.26908000,0
2020-11-10,0.03495000,0.03728000,0.03323000,0.03593000,242890.20000000,1605052799999,8520.40064500,1696,122398.10000000,4297.80612400,0
2020-11-11,0.03580000,0.03580000,0.03126000,0.03257000,159821.60000000,1605139199999,5301.76230200,1148,73407.30000000,2442.22925800,0
2020-11-12,0.03251000,0.03470000,0.03224000,0.03319000,112932.50000000,1605225599999,3805.37845900,814,56192.00000000,1894.46963000,0
2020-11-13,0.03337000,0.03908000,0.03299000,0.03795000,190815.60000000,1605311999999,6910.59625800,1134,91103.50000000,3315.35075700,0
2020-11-14,0.03808000,0.04976000,0.03693000,0.04596000,586064.60000000,1605398399999,25092.62580100,2611,310966.20000000,13361.45955100,0
2020-11-15,0.04641000,0.05191000,0.04334000,0.04636000,330180.40000000,1605484799999,15625.46737200,1983,167055.80000000,7933.88734400,0
2020-11-16,0.04664000,0.05829000,0.04492000,0.05746000,373424.80000000,1605571199999,19436.41870200,2674,190338.70000000,9914.43289700,0
2020-11-17,0.05746000,0.06105000,0.04507000,0.05129000,347097.10000000,1605657599999,18086.61408100,3266,169979.20000000,8890.40636400,0
2020-11-18,0.05138000,0.05391000,0.04605000,0.04863000,211911.40000000,1605743999999,10420.33637800,2113,101430.80000000,4983.79312100,0
2020-11-19,0.04888000,0.05217000,0.04501000,0.04630000,143994.60000000,1605830399999,6891.94433000,1333,60175.00000000,2899.79404800,0
2020-11-20,0.04616000,0.05348000,0.04575000,0.04879000,167325.20000000,1605916799999,8318.74729100,1362,88322.30000000,4385.15089700,0
